((-5, -6, -8, -16, -24, 3, -5, -2), 3, 17.253386299257855)
((10, 6, 0, -24, -6, 5, 5, -29), 3, 17.273276459774937)
((-3, -5, -4, 10, 9, -3, 5, -5), 3, 17.292123760998773)
((2, 1, 5, 0, 1, -24, -36, 6), 3, 17.311891332807246)
((-3, 2, 6, 46, -5, -18, -14, -23), 3, 17.331687413617725)
((2, -4, -2, 10, 3, -11, 6, 84), 3, 17.352832540402957)
((25, -4, -3, 1, -16, -8, 3, -30), 3, 17.371186635892148)
((-18, -3, 4, 2, 52, -2, -50, -103), 3, 17.391900136387065)
((6, 3, 7, 15, 11, 80, 21, 4), 3, 17.41063682268313)
((27, -7, -5, 82, 35, 0, 36, 61), 3, 17.43026356002171)
((-4, 0, -3, -2, -69, 11, 16, 24), 3, 17.44915590546871)
((-9, -6, -16, -20, -28, -9, -53, -1), 3, 17.469381331849345)
((-9, -6, -16, -20, -28, -9, -53, -1), 3, 17.48629173147713)
((10, 1, 5, -27, -9, 11, 13, -1), 3, 17.507694579640468)
((1, 5, 8, 9, 15, 13, 5, -19), 3, 17.528303167008016)
((-2, -4, -11, -1, -6, -6, -11, 20), 3, 17.548852455651396)
((-3, -3, -4, -2, 0, -2, 6, -19), 3, 17.570485086370873)
((-3, -3, -2, 20, -14, -3, 5, 30), 3, 17.59100187475197)
((-14, -3, -5, -8, 13, 3, 2, 7), 3, 17.610796815202367)
((-2, -2, -11, -18, -35, -2, 1, -2), 3, 17.630914477555432)
((1, -6, -8, 14, 11, -3, 26, 24), 3, 17.65161486390943)
((1, -1, -2, -12, -4, -2, 2, 20), 3, 17.671303180692334)
((2, 4, 12, -2, 4, 9, -14, -6), 3, 17.690002805285797)
((-2, -2, -4, -13, -28, -8, -9, -2), 3, 17.709593621281854)
((-4, -6, -13, -24, -12, -4, -4, -3), 3, 17.729065269649546)
((-4, -6, -13, -24, -12, -4, -4, -3), 3, 17.745922642533607)
((-4, -2, -2, 2, -2, -4, -3, -5), 3, 17.768932828229843)
((3, 1, 2, -16, -9, -7, -6, -3), 3, 17.789946813605866)
((-1, -1, 2, 0, -13, -1, -20, 2), 3, 17.809207495358734)
((-6, -8, -9, -15, 0, -1, -4, 6), 3, 17.828821688736436)
((4, -1, -5, -2, -5, -5, 7, 30), 3, 17.848310442505326)
((-8, 4, 2, -4, -4, 4, 15, 6), 3, 17.86729515711881)
((-3, -2, -2, 2, -26, -7, 0, 0), 3, 17.89020556130804)
((1, -3, 0, -10, -18, -4, -17, -1), 3, 17.910136204607966)
((1, -1, -3, -4, 1, 2, 24, 0), 3, 17.928825565960707)
((0, -1, -2, -1, -18, -3, -5, 0), 3, 17.947578217297895)
((-2, 1, 4, 8, 4, 0, 0, -1), 3, 17.967862942402693)
((2, -1, -5, -81, 11, 2, 0, -3), 3, 17.983330216349113)
((2, -5, -4, 17, 14, -6, 3, -3), 3, 18.003385729077813)
((-1, 1, 0, 0, -15, 0, 14, -6), 3, 18.020476305598255)
((3, -3, -3, 10, 13, -1, -5, 1), 3, 18.039121192907874)
((11, -1, -3, 4, 14, 1, -1, 18), 3, 18.057695948072563)
((-4, -1, 1, -26, 6, 1, -1, -7), 3, 18.07596850781603)
((-3, 2, -1, -8, -17, -5, -20, -9), 3, 18.093892687555023)
((-2, -2, -1, 4, -9, -2, -21, -1), 3, 18.11361407478025)
((2, 2, 0, -17, -4, 1, 4, -2), 3, 18.132292602712234)
((7, -1, -10, 11, -22, -1, 5, -2), 3, 18.15094148128213)
((-2, -3, -4, -18, -5, -2, -3, 2), 3, 18.169790493046083)
((3, -2, 0, -15, -14, -2, -3, 2), 3, 18.188613846708236)
((-6, -2, -4, -2, -3, -3, 3, -12), 3, 18.209480155453885)
((3, 2, 4, 42, -1, 2, 4, -7), 3, 18.229183867097873)
((-2, 1, 2, 1, 9, 0, 10, -4), 3, 18.24760068239147)
((-2, 0, -2, -10, -10, -2, 2, -10), 3, 18.26831988468679)
((4, 1, 3, 58, 27, 2, 6, 1), 3, 18.286361521514035)
((-4, -5, -7, -5, -15, -4, 7, 0), 3, 18.305208822737868)
((0, -2, -3, -2, -4, -1, 4, -5), 3, 18.32644859940975)
((-5, -3, -3, 6, 4, 0, 3, -2), 3, 18.34408426804848)
((-2, 1, 3, 59, -1, -3, -1, 0), 3, 18.36475272432023)
((-1, -2, 1, -29, 2, -2, -3, -5), 3, 18.38557284848264)
((0, 2, 4, 32, 32, 5, 25, 0), 3, 18.407715790337956)
((-1, 2, -1, -19, -17, -2, -3, -8), 3, 18.448145546437743)
((-6, -2, 4, -5, -9, 2, 3, -1), 3, 18.468928608897546)
((-3, 2, 4, -4, 1, 0, 2, 1), 3, 18.488439599687997)
((-1, -2, 1, 4, 21, 5, 4, 1), 3, 18.510589953883837)
((1, -3, -3, -19, -8, -3, 5, -1), 3, 18.53020414726154)
((-3, 3, 5, 8, 20, 6, 6, 0), 3, 18.552155508623404)
((-1, 1, 5, -8, -1, -2, -6, 4), 3, 18.575040254710828)
((9, 6, 3, 8, 3, 0, -4, 3), 3, 18.594916730906952)
((-5, -4, -8, -5, 4, -2, 1, -2), 3, 18.61588225097957)
((0, 4, 7, 17, 4, 3, -2, 0), 3, 18.63582486806034)
((0, -1, 5, 6, 23, 5, 1, 1), 3, 18.655801695943513)
((-1, -1, 0, -10, -22, -6, -1, 0), 3, 18.675531065689302)
((-1, -2, -13, 4, 11, 1, 0, -1), 3, 18.69525473363469)
((0, 1, 3, 5, 12, 1, -1, 0), 3, 18.715776083456113)
((1, 4, 4, -3, -20, -5, 0, 1), 3, 18.73374644777835)
((1, 0, -3, -3, 4, 0, -3, -2), 3, 18.75406253278535)
((-3, -4, -9, -7, -2, -2, 1, -1), 3, 18.774199011079737)
((3, 2, -5, 12, -6, -1, 0, -1), 3, 18.793324560163118)
((-2, -6, -18, -10, -60, -2, -1, -1), 3, 18.814509029371113)
((5, 5, 3, 2, 47, 2, 5, -1), 3, 18.964746338303783)
((-5, -9, -8, -5, -40, -16, -89, -4), 3, 18.990497949632577)
((19, 14, 2, -16, -44, 46, 41, 30), 3, 19.014749417276)
((8, 2, 2, 14, 21, 31, 35, -10), 2, 19.092116006550228)
((-5, -2, -1, 4, 31, 57, 11, 3), 2, 19.118367095594106)
((-4, 0, 2, 19, 30, -3, -13, -1), 2, 19.143829055462554)
((-6, -4, -6, 1, -34, -15, 18, 5), 2, 19.169707816940278)
((-4, -4, -3, -19, -64, -9, -5, -2), 2, 19.19730852213895)
((-3, -3, -3, -8, 4, -17, -11, -3), 2, 19.222605699975823)
((3, 6, 1, -14, -46, 4, -45, -24), 2, 19.247826473687333)
((0, -4, -3, -9, -10, -2, -22, 6), 2, 19.272966281833153)
((-1, -2, -2, -1, 23, -51, -1, 2), 2, 19.297732622052738)
((0, -1, -3, -4, -7, -14, -21, 1), 2, 19.32334111819148)
((2, 1, 0, -7, -35, 42, -19, 1), 2, 19.347464295325892)
((0, -2, -4, -6, -27, -17, -26, -3), 2, 19.374005606010154)
((-1, -1, -1, -7, -18, -11, 2, -2), 2, 19.3976025069676)
((-3, -2, 0, 10, 5, -12, -5, 0), 2, 19.421209671165766)
((-1, 0, 1, -3, -17, 27, -27, 3), 2, 19.444254637844445)
((-1, 0, -2, -10, 1, 6, -15, 0), 2, 19.465455642273604)
((-1, 0, 0, -12, -16, -9, 1, 0), 2, 19.48913407897678)
